Researcher,Year,Title,Type,Abstract,Source,Authors,Institution,Topics,Affiliation Match
Federica Amici,2019,Growing into adulthood—a review on sex differences in the development of sociality across macaques,article,"Preferential affiliative relationships, or social bonds, play a crucial role in primate social life, but little is known about their development. Here, we review macaque studies investigating the social development of both sexes. Firstly, we highlight the emergence of sex differences in mother–offspring bonds, as macaque mothers form stronger bonds with daughters, while being more aggressive towards sons, possibly contributing to maintain female philopatry and/or male dispersal. Secondly, despite paternity uncertainty, we discuss studies reporting that fathers of several macaque species preferentially engage with their offspring, but less than mothers and only in periods of high infant mortality. Thirdly, we show that immature females, the philopatric sex in macaques, already form stronger bonds with close maternal kin than immature males, mirroring social patterns during adulthood. However, this bias seems not caused by kin availability, as kin availability is similar for both sexes prior to male dispersal. Moreover, immature males might preferentially affiliate with paternal kin over non-kin, possibly because of lower maternal integration in their maternal family and/or in preparation of dispersal. Fourthly, we discuss how immature females engage in grooming and proximity with female partners as they grow older, while immature males preferentially interact with adult males and peers, playing more than females from early on. Finally, we show that most developmental changes in sociality happen around 2–3 years of age, probably representing a milestone in macaque social development. We conclude that sex differences in sociality emerge early in development and increase through time, with sexes gradually growing into their adult roles.","<a href=""https://openalex.org/W2910013166"" target=""_blank"">OpenAlex</a>","Federica Amici, Lars Kulik, Doreen Langos, Anja Widdig","Max Planck Institute for Evolutionary Anthropology, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2020,"Experience has a limited effect on humans’ ability to predict the outcome of social interactions in children, dogs and macaques",article,"The ability to predict others' behaviour represents a crucial mechanism which allows individuals to react faster and more appropriately. To date, several studies have investigated humans' ability to predict conspecifics' behaviour, but little is known on our ability to predict behaviour in other species. Here, we aimed to test humans' ability to predict social behaviour in dogs, macaques and humans, and assess the role played by experience and evolution on the emergence of this ability. For this purpose, we presented participants with short videoclips of real-life social interactions in dog, child and macaque dyads, and then asked them to predict the outcome of the observed interactions (i.e. aggressive, neutral or playful). Participants were selected according to their previous species-specific experience with dogs, children and non-human primates. Our results showed a limited effect of experience on the ability to predict the outcome of social interactions, which was mainly restricted to macaques. Moreover, we found no support to the co-domestication hypothesis, in that participants were not especially skilled at predicting dog behaviour. Finally, aggressive outcomes in dogs were predicted significantly worse than playful or neutral ones. Based on our findings, we suggest possible lines for future research, like the inclusion of other primate species and the assessment of cultural factors on the ability to predict behaviour across species.","<a href=""https://openalex.org/W3108823513"" target=""_blank"">OpenAlex</a>","Sasha Donnier, Gyula Kovács, Linda Oña, Juliane Bräuer, Federica Amici","University of Girona, Max Planck Institute for Evolutionary Anthropology, Max Planck Institute for the Science of Human History, Max Planck Institute for Human Development, Friedrich Schiller University Jena",Human-Animal Interaction Studies,University of Leipzig
Federica Amici,2021,Neophobia in 10 ungulate species—a comparative approach,article,"Neophobia (the fearful reaction to novel stimuli or situations) has a crucial effect on individual fitness and can vary within and across species. However, the factors predicting this variation are still unclear. In this study, we assessed whether individual characteristics (rank, social integration, sex) and species socio-ecological characteristics (dietary breadth, group size, domestication) predicted variation in neophobia. For this purpose, we conducted behavioral observations and experimental tests on 78 captive individuals belonging to 10 different ungulate species-an ideal taxon to study inter-specific variation in neophobia given their variety in socio-ecological characteristics. Individuals were tested in their social groups by providing them with familiar food, half of which had been positioned close to a novel object. We monitored the individual latency to approach and eat food and the proportion of time spent in its proximity. Using a phylogenetic approach and social network analyses, we showed that across ungulate species neophobia was higher in socially more integrated individuals, as compared to less integrated ones. In contrast, rank and sex did not predict inter-individual differences in neophobia. Moreover, species differed in their levels of neophobia, with Barbary sheep being on average less neophobic than all the other study species. As group size in Barbary sheep was larger than in all the other study species, these results support the hypothesis that larger group size predicts lower levels of neophobia, and confirm ungulates as a highly promising taxon to study animal behavior and cognition with a comparative perspective.In several species, individuals may respond fearfully to novel stimuli, therefore reducing the risks they may face. However, it is yet unclear if certain individuals or species respond more fearfully to novelty. Here, we provided food to 78 individual ungulates with different characteristics (e.g., sex, rank, social integration, group size, domestication, dietary breadth) in different controlled conditions (e.g., when food was close to novel or to familiar objects). Across species, we found that socially integrated individuals responded more fearfully in all species. Moreover, being in larger groups decreased the probability of fearfully responding to novelty.The online version contains supplementary material available at 10.1007/s00265-021-03041-0.","<a href=""https://openalex.org/W3174105255"" target=""_blank"">OpenAlex</a>","Alina Schaffer, Álvaro L. Caicoya, Montserrat Colell, Ruben Holland, Lorenzo von Fersen, Anja Widdig, Federica Amici","Max Planck Institute for Evolutionary Anthropology, Universitat de Barcelona, Nuremberg Hospital, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2023,Yawning and scratching contagion in wild spider monkeys (Ateles geoffroyi),article,"Behavioural contagion is a widespread phenomenon in animal species, which is thought to promote coordination and group cohesion. Among non-human primates, however, there is no evidence of behavioural contagion in Platyrrhines (i.e. primates from South and Central America) yet. Here, we investigated whether behavioural contagion is also present in this taxon, by assessing yawning and scratching contagion in a wild group (N = 49) of Geoffroy’s spider monkeys ( Ateles geoffroyi ). We conducted focal samples to examine whether individuals observing the triggering event (i.e. a naturally occurring yawning or scratching event in the group) would be more likely to yawn or scratch in the following 3 min, as compared to individuals who did not observe the triggering event. We ran generalized linear mixed models using a Bayesian approach, and found that the probability of yawning and scratching was higher for individuals observing others yawning and scratching, respectively, as compared to individuals who did not observe such an event. Behavioural contagion did not vary depending on the observer’s sex, kinship or relationship quality with the individual performing the triggering event. These findings provide the first evidence for yawning and scratching contagion in a wild group of spider monkeys, and importantly contribute to the debate about the evolutionary origins of behavioural contagion in primates.","<a href=""https://openalex.org/W4378172550"" target=""_blank"">OpenAlex</a>","Sara Valdivieso‐Cortadella, Chiara Bernardi‐Gómez, Filippo Aureli, Miquel Llorente, Federica Amici","University of Girona, Universidad Veracruzana, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2018,Field and laboratory methods in animal cognition: A comparative guide,book,Abstract not available,"<a href=""https://openalex.org/W2887138273"" target=""_blank"">OpenAlex</a>","Nereida Bueno-Guerra, Federica Amici","Max Planck Institute for Evolutionary Anthropology, Max Planck Society",Olfactory and Sensory Function Studies,University of Leipzig
Federica Amici,2020,Innovation in wild Barbary macaques (Macaca sylvanus),article,"Innovation is the ability to solve novel problems or find novel solutions to familiar problems, and it is known to affect fitness in both human and non-human animals. In primates, innovation has been mostly studied in captivity, although differences in living conditions may affect individuals’ ability to innovate. Here, we tested innovation in a wild group of Barbary macaques ( Macaca sylvanus ). In four different conditions, we presented the group with several identical foraging boxes containing food. To understand which individual characteristics and behavioural strategies best predicted innovation rate, we measured the identity of the individuals manipulating the boxes and retrieving the food, and their behaviour during the task. Our results showed that success in the novel task was mainly affected by the experimental contingencies and the behavioural strategies used during the task. Individuals were more successful in the 1-step conditions, if they participated in more trials, showed little latency to approach the boxes and mainly manipulated functional parts of the box. In contrast, we found no effect of inhibition, social facilitation and individual characteristics like sex, age, rank, centrality, neophobia and reaction to humans, on the individuals’ ability to innovate.","<a href=""https://openalex.org/W3012090232"" target=""_blank"">OpenAlex</a>","Federica Amici, Álvaro L. Caicoya, Bonaventura Majolo, Anja Widdig","University of Lincoln, Universitat de Barcelona, Max Planck Institute for Evolutionary Anthropology, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2020,Gaze Following in Ungulates: Domesticated and Non-domesticated Species Follow the Gaze of Both Humans and Conspecifics in an Experimental Context,article,"Gaze following is the ability to use others’ gaze to obtain information about the environment (e.g., food location, predators, and social interactions). As such, it may be highly adaptive in a variety of socio-ecological contexts, and thus be widespread across animal taxa. To date, gaze following has been mostly studied in primates, and partially in birds, but little is known on the gaze following abilities of other taxa and, especially, on the evolutionary pressures that led to their emergence. In this study, we used an experimental approach to test gaze following skills in a still understudied taxon, ungulates. Across four species (i.e., domestic goats and lamas, and non-domestic guanacos and mouflons), we assessed the individual ability to spontaneously follow the gaze of both conspecifics and human experimenters in different conditions. In line with our predictions, species followed the model’s gaze both with human and conspecific models, but more likely with the latter. Except for guanacos, all species showed gaze following significantly more in the experimental conditions (than in the control ones). Despite the relative low number of study subjects, our study provides the first experimental evidence of gaze following skills in non-domesticated ungulates, and contributes to understanding how gaze following skills are distributed in another taxon—an essential endeavor to identify the evolutionary pressures leading to the emergence of gaze following skills across taxa.","<a href=""https://openalex.org/W3104880496"" target=""_blank"">OpenAlex</a>","Alina Schaffer, Álvaro L. Caicoya, Montserrat Colell, Ruben Holland, Conrad Ensenyat, Federica Amici","Max Planck Institute for Evolutionary Anthropology, Universitat de Barcelona, Leipzig University",Human-Animal Interaction Studies,University of Leipzig
Federica Amici,2021,Invasive Research on Non-Human Primates—Time to Turn the Page,article,"Invasive research on primates (i.e., laboratory research that implies body manipulations causing pain or distress that is not aimed to directly improve the individuals' well-being) has a long history. Although some invasive studies have allowed answering research questions that we could not have addressed with other methods (or at least not as quickly), the use of primates in invasive research also raises ethical concerns. In this review, we will discuss (i) recent advances in the study of primates that show evidence of complex behaviour and cognition, (ii) welfare issues that might arise when using primates in invasive research, (iii) the main ethical issues that have been raised about invasive research on primates, (iv) the legal protection that primates are granted in several countries, with a special focus on the principle of the 3Rs, and (v) previous and current attempts to ban the use of primates in invasive research. Based on this analysis, we suggest that the importance of a research question cannot justify the costs of invasive research on primates, and that non-invasive methods should be considered the only possible approach in the study of primates.","<a href=""https://openalex.org/W3207156126"" target=""_blank"">OpenAlex</a>","Maria Padrell, Miquel Llorente, Federica Amici","University of Girona, Max Planck Institute for Evolutionary Anthropology, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2024,"Evidence of object permanence, short-term spatial memory, causality, understanding of object properties and gravity across five different ungulate species",article,"In their natural environment, animals face a variety of ecological and social challenges, which might be linked to the emergence of different cognitive skills. To assess inter-specific variation in cognitive skills, we used ungulates as a study model, testing a total of 26 captive individuals across 5 different species (i.e., dwarf goats, Capra aegagrus hircus , llamas, Lama glama , guanacos, Lama guanicoe , zebras, Equus grevyi , and rhinos, Diceros bicornis michaeli ). Across species, we used the same well-established experimental procedures to test individuals’ performance in naïve physics tasks, i.e. object permanence, short-term spatial memory, causality, understanding of object properties, and gravity. Our results revealed that study subjects showed object permanence, were able to remember the position of hidden food after up to 60 s, and inferred the position of hidden food from the sound produced or not produced when shaking containers. Moreover, they showed an understanding of basic object properties, being able to locate objects hidden behind occluders based on their size and inclination, and could reliably follow the trajectory of falling objects across different conditions. Finally, inter-specific differences were limited to the understanding of object properties, and suggest that domesticated species as goats might perform better than non-domesticated ones in tasks requiring these skills. These results provide new information on the cognitive skills of a still understudied taxon and confirm ungulates as a promising taxon for the comparative study of cognitive evolution.","<a href=""https://openalex.org/W4399686962"" target=""_blank"">OpenAlex</a>","Alina Schaffer, Anja Widdig, Ruben Holland, Federica Amici",Leipzig University,Human-Animal Interaction Studies,University of Leipzig
Federica Amici,2020,Dominance style only partially predicts differences in neophobia and social tolerance over food in four macaque species,article,"Primates live in complex social systems with social structures ranging from more to less despotic. In less despotic species, dominance might impose fewer constraints on social choices, tolerance is greater than in despotic species and subordinates may have little need to include novel food items in the diet (i.e. neophilia), as contest food competition is lower and resources more equally distributed across group members. Here, we used macaques as a model to assess whether different dominance styles predict differences in neophilia and social tolerance over food. We provided familiar and novel food to 4 groups of wild macaques (N = 131) with different dominance styles ( Macaca fuscata , M. fascicularis , M. sylvanus , M. maura ). Our study revealed inter- and intra-specific differences in individuals’ access to food, which only partially reflected the dominance styles of the study subjects. Contrary to our prediction, social tolerance over food was higher in more despotic species than in less despotic species. Individuals with a higher dominance rank and being better socially integrated (i.e. higher Eigenvector centrality) were more likely to retrieve food in all species, regardless of their dominance style. Partially in line with our predictions, less integrated individuals more likely overcame neophobia (as compared to more integrated ones), but only in species with more tolerance over food. Our study suggests that individual characteristics (e.g. social integration or personality) other than dominance rank may have a stronger effect on an individual’s access to resources.","<a href=""https://openalex.org/W3110696620"" target=""_blank"">OpenAlex</a>","Federica Amici, Anja Widdig, Andrew J. J. MacIntosh, Víctor Beltrán Francés, Alba Castellano‐Navarro, Álvaro L. Caicoya, Karimullah Karimullah, Risma Illa Maulany, Putu Oka Ngakan, Andi Siady Hamzah, Bonaventura Majolo","University of Girona, Hasanuddin University, Kyoto University, Universitat de Barcelona, Universidad Cardenal Herrera CEU, Universiti Sains Malaysia, University of Lincoln, Leipzig University",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2022,The Habituation Process in Two Groups of Wild Moor Macaques (Macaca maura),article,"When studying animal behavior in the wild, some behaviors may require observation from a relatively short distance. In these cases, habituation is commonly used to ensure that animals do not perceive researchers as a direct threat and do not alter their behavior in their presence. However, habituation can have significant effects on the welfare and conservation of the animals. Studying how nonhuman primates react to the process of habituation can help to identify the factors that affect habituation and implement habituation protocols that allow other researchers to speed up the process while maintaining high standards of health and safety for both animals and researchers. In this study, we systematically described the habituation of two groups of wild moor macaques (Macaca maura), an Endangered endemic species of Sulawesi Island (Indonesia), to assess the factors that facilitate habituation and reduce impact on animal behavior during this process. During 7 months, we conducted behavioral observations for more than 7,872 encounters and an average of 120 days to monitor how macaque behavior toward researchers changed through time in the two groups under different conditions. We found that both study groups (N = 56, N = 41) became more tolerant to the presence of researchers during the course of the habituation, with occurrence of neutral group responses increasing, and minimum distance to researchers and occurrence of fearful group responses decreasing through time. These changes in behavior were predominant when macaques were in trees, with better visibility conditions, when researchers maintained a longer minimum distance to macaques and, unexpectedly, by the presence of more than one researcher. By identifying these factors, we contribute to designing habituation protocols that decrease the likelihood of fearful responses and might reduce the stress experienced during this process.","<a href=""https://openalex.org/W4205893101"" target=""_blank"">OpenAlex</a>","Clara Hernández Tienda, Bonaventura Majolo, Teresa Romero, Risma Illa Maulany, Putu Oka Ngakan, Víctor Beltrán Francés, Elisa Gregorio Hernández, José Gómez-Melara, Miquel Llorente, Federica Amici","University of Girona, Hasanuddin University, Max Planck Institute for Evolutionary Anthropology, Universidad de Sevilla, University of Lincoln",Primate Behavior and Ecology,University of Leipzig
Federica Amici,2022,"Maternal stress, child behavior and the promotive role of older siblings",article,"Background In the first years of their lives, children develop the cognitive, social and emotional skills that will provide the foundations for their lifelong health and achievements. To increase their life prospects and reduce the long-term effects of early aversive conditions, it is therefore crucial to understand the risk factors that negatively affect child development and the factors that are instead beneficial. In this study, we tested (i) the effects of different social and environmental stressors on maternal stress levels, (ii) the dynamic relationship between maternal stress and child behavior problems during development, and (iii) the potential promotive (i.e. main) or protective (i.e. buffering) effect of siblings on child behavior problems during development. Methods We used longitudinal data from 373 mother–child pairs (188 daughters, 185 sons) from pregnancy until 10 years of age. We assessed maternal stress and child behavior problems (internalizing and externalizing) with validated questionnaires, and then used linear mixed models, generalized linear mixed models and longitudinal cross-lagged models to analyze the data. Results Our results showed that higher maternal stress levels were predicted by socio-environmental stressors (i.e. the lack of sufficient social areas in the neighborhood). Moreover, prenatal maternal stress reliably predicted the occurrence of behavior problems during childhood. Finally, the presence of older siblings had a promotive function, by reducing the likelihood that children developed externalizing problems. Conclusions Overall, our results confirm the negative effects that maternal stress during pregnancy may have on the offspring, and suggest an important main effect of older siblings in promoting a positive child development.","<a href=""https://openalex.org/W4225147737"" target=""_blank"">OpenAlex</a>","Federica Amici, Stefan Röder, Wieland Kieß, Michael Borte, Ana Claudia Zenclussen, Anja Widdig, Gunda Herberth","Klinikum St. Georg, Max Planck Institute for Evolutionary Anthropology, Leipzig University, Helmholtz Centre for Environmental Research",Maternal Mental Health During Pregnancy and Postpartum,University of Leipzig
Federica Amici,2023,Face to face interactions in chimpanzee ( <i>Pan troglodytes</i> ) and human ( <i>Homo sapiens</i> ) mother–infant dyads,article,"Human mothers interact with their infants in different ways. In Western, educated, industrialized, rich and democratic (WEIRD) societies, face-to-face interactions and mutual gazes are especially frequent, yet little is known about their developmental trajectories and if they differ from those of other primates. Using a cross-species developmental approach, we compared mother–infant interactions in 10 dyads of urban humans from a WEIRD society ( Homo sapiens ) and 10 dyads of captive zoo-based chimpanzees ( Pan troglodytes ), when infants were one, six and 12 months old. Results showed that face-to-face interactions with mutual gaze events were common in both groups throughout the infant's first year of life. The developmental trajectories of maternal and infants’ looks partially differed between species, but mutual gaze events were overall longer in humans than in chimpanzees. Mutual gazes were also more frequent in humans, peaking at six months in humans, while increasing with age in chimpanzees. The duration and frequency of mutual gazes varied across contexts in both groups, with mutual gazes being longer during caring/grooming and feeding contexts. These findings confirm that some aspects of early socio-cognitive development are shared by humans and other primates, and highlight the importance of combining developmental and cross-species approaches to better understand the evolutionary roots of parenting behaviour. This article is part of a discussion meeting issue ‘Face2face: advancing the science of social interaction’.","<a href=""https://openalex.org/W4323257211"" target=""_blank"">OpenAlex</a>","Federica Amici, Manuela Ersson-Lembeck, Manfred Holodynski, Katja Liebal","Freie Universität Berlin, Max Planck Institute for Evolutionary Anthropology, Leipzig University, University of Münster",Child and Animal Learning Development,University of Leipzig
