Project,full_name,Project Type
Semantics and Pragmatics of Emojis in Digital Communication (EmDiCom),Tatjana Scheffler,Main Project
The Gesture-to-Sign Trajectory: Phonological Parameters in Production and Real-Time Comprehension,Pamela Perniss,Main Project
The Gesture-to-Sign Trajectory: Phonological Parameters in Production and Real-Time Comprehension,Petra Schumacher,Main Project
The Gesture-to-Sign Trajectory: Phonological Parameters in Production and Real-Time Comprehension,Door Spruijt,Main Project
Virtual Reality Sustained Multimodal Distributional Semantics for Gestures in Dialogue (GeMDiS),Alexander Henlein,Main Project
Virtual Reality Sustained Multimodal Distributional Semantics for Gestures in Dialogue (GeMDiS),Andy Lücking,Main Project
Virtual Reality Sustained Multimodal Distributional Semantics for Gestures in Dialogue (GeMDiS),Alexander Mehler,Main Project
Visual and Non-visual Means of Perspective Taking in Language,Cornelia Ebert,Main Project
Visual and Non-visual Means of Perspective Taking in Language,Stefan Hinterwimmer,Main Project
Visual and Non-visual Means of Perspective Taking in Language,Sebastian Walter,Main Project
Studying head nods with Computer Vision tool OpenPose,Anastasia Bauer,Short-Term Collaboration
Studying head nods with Computer Vision tool OpenPose,Anna Kuder,Short-Term Collaboration
Studying head nods with Computer Vision tool OpenPose,Marc Schulder,Short-Term Collaboration
Interactions of at-issueness and commitment in lying: Can iconic gestures be used to lie?,Jonas Hartke,Short-Term Collaboration
Interactions of at-issueness and commitment in lying: Can iconic gestures be used to lie?,Sebastian Walter,Short-Term Collaboration
Comparing a recurrent non-manual movement in spoken and signed languages,Anastasia Bauer,Short-Term Collaboration
Comparing a recurrent non-manual movement in spoken and signed languages,Silva Ladewig,Short-Term Collaboration
Testing the correlation between top-down prosodic annotation systems and bottom-up automatic annotation,Aleksandra Ćwiek,Short-Term Collaboration
Testing the correlation between top-down prosodic annotation systems and bottom-up automatic annotation,Pilar Prieto,Short-Term Collaboration
Testing the correlation between top-down prosodic annotation systems and bottom-up automatic annotation,Frank Kügler,Short-Term Collaboration
Testing the correlation between top-down prosodic annotation systems and bottom-up automatic annotation,Patrick Rohrer,Short-Term Collaboration
Bottom-up formal-based approaches for the identification of gesture types in chimpanzees,Chiara Zulberti,Short-Term Collaboration
Bottom-up formal-based approaches for the identification of gesture types in chimpanzees,Katja Liebal,Short-Term Collaboration
Bottom-up formal-based approaches for the identification of gesture types in chimpanzees,Federica Amici,Short-Term Collaboration
Bottom-up formal-based approaches for the identification of gesture types in chimpanzees,Jana Bressem,Short-Term Collaboration
Bottom-up formal-based approaches for the identification of gesture types in chimpanzees,Silva Ladewig,Short-Term Collaboration
Exploration and comparison of mobile high-density electroencephalographic recordings,Alexander Mehler,Short-Term Collaboration
Exploration and comparison of mobile high-density electroencephalographic recordings,Alexander Henlein,Short-Term Collaboration
Exploration and comparison of mobile high-density electroencephalographic recordings,Andy Lücking,Short-Term Collaboration
Exploration and comparison of mobile high-density electroencephalographic recordings,Petra Schumacher,Short-Term Collaboration
Exploration and comparison of mobile high-density electroencephalographic recordings,Ingmar Brilmayer,Short-Term Collaboration
A crossmodal investigation of negation and rejection,Sebastian Walter,Short-Term Collaboration
A crossmodal investigation of negation and rejection,Lennart Fritzsche,Short-Term Collaboration
Applying computer vision tools to video recordings of chimpanzees,Chiara Zulberti,Short-Term Collaboration
Applying computer vision tools to video recordings of chimpanzees,Šárka Kadavá,Short-Term Collaboration
Exploring multimodal prominence in Slicing gesture sequences,Silva Ladewig,Short-Term Collaboration
Exploring multimodal prominence in Slicing gesture sequences,Frank Kügler,Short-Term Collaboration
Exploring multimodal prominence in Slicing gesture sequences,Alina Gregori,Short-Term Collaboration
Exploring multimodal prominence in Slicing gesture sequences,Pilar Prieto,Short-Term Collaboration
Exploring multimodal prominence in Slicing gesture sequences,Paula Ginesa Sánchez Ramón,Short-Term Collaboration
Lying with ambiguity? Under-informativity using pointing gestures versus speech,Mailin Antomo,Short-Term Collaboration
Lying with ambiguity? Under-informativity using pointing gestures versus speech,Yuqiu Chen,Short-Term Collaboration
Lying with ambiguity? Under-informativity using pointing gestures versus speech,Oliver Herbort,Short-Term Collaboration
Lying with ambiguity? Under-informativity using pointing gestures versus speech,Lisa-Marie Krause,Short-Term Collaboration
Analyse von Mundbild im Hamburger DGS-Korpus,Anastasia Bauer,Short-Term Collaboration
Analyse von Mundbild im Hamburger DGS-Korpus,Nina-Kristin Meister,Short-Term Collaboration
Analyse von Mundbild im Hamburger DGS-Korpus,Patrick C. Trettenbrein,Short-Term Collaboration
Analyse von Mundbild im Hamburger DGS-Korpus,Liona Paulus,Short-Term Collaboration
Examining mouthings with Virtual Reality (VR) glasses (Meta Quest Pro),Anastasia Bauer,Short-Term Collaboration
Examining mouthings with Virtual Reality (VR) glasses (Meta Quest Pro),Alexander Mehler,Short-Term Collaboration
Examining mouthings with Virtual Reality (VR) glasses (Meta Quest Pro),Alexander Henlein,Short-Term Collaboration
Examining mouthings with Virtual Reality (VR) glasses (Meta Quest Pro),Andy Lücking,Short-Term Collaboration
Moving Meetings by Moving Prosody and Gesture,Susanne Fuchs,Short-Term Collaboration
Moving Meetings by Moving Prosody and Gesture,Alina Gregori,Short-Term Collaboration
Meaning of Face Emoji Features,Tatjana Scheffler,Short-Term Collaboration
Meaning of Face Emoji Features,Lea Fricke,Short-Term Collaboration
Meaning of Face Emoji Features,Patrick Georg Grosz,Short-Term Collaboration
Meaning of Face Emoji Features,Thomas Finkbeiner,Short-Term Collaboration
Meaning of Face Emoji Features,Nina-Kristin Meister,Short-Term Collaboration
Meaning of Face Emoji Features,Constant Bonard,Short-Term Collaboration
A kinematic journey from gesture to sign,Šárka Kadavá,Short-Term Collaboration
A kinematic journey from gesture to sign,Door Spruijt,Short-Term Collaboration
