Researcher,Year,Type,Title,Abstract,Source,Authors,Database Affiliation,Publication Institutions,Matched Affiliation,Topic,Review Flag
Federica Amici,2024.0,preprint,Cognitive differences between two zebra species - the role of fission-fusion dynamics,"<title>Abstract</title> In animals, high fission-fusion dynamics characterize groups in which individuals frequently split into subgroups of different size and composition, and may be linked to the enhancement of cognitive skills. However, this hypothesis has rarely been tested. Here, we compared two zebra species with different levels of fission-fusion dynamics, Chapman’s zebras (<italic>Equus burchelli chapmanni</italic>) and Grévy’s zebras (<italic>Equus grevyi</italic>), to assess potential differences in their cognitive skills. We tested 8 individuals of each species in experimental tasks assessing their object permanence, short-term memory, inference and quantity discrimination skills. Our results showed that Grévy’s zebras, which are characterized by higher levels of fission-fusion dynamics, performed better than Chapman’s zebras in tasks requiring inference and quantity discrimination skills. These findings provide preliminary support to the hypothesis that high fission-fusion dynamics are linked to the enhancement of specific cognitive skills also in taxa other than primates.","<a href=""https://openalex.org/W4391383660"" target=""_blank"">OpenAlex</a>","Alina Schaffer, Álvaro L. Caicoya, Iker Loidi Vadillo, Anja Widdig, Ruben Holland, Federica Amici",University of Leipzig,"Leipzig University, Universitat de Barcelona, Universitat de Barcelona, Leipzig University",No,Primate Behavior and Ecology,Yes
Federica Amici,2024.0,article,Variation in neophilia in seven primate species.,"Neophilia is a measure of individuals' attraction to novelty and is thought to provide important fitness benefits related to the acquisition of information and the ability to solve novel problems. Although neophilia is thought to vary across individuals and species, few studies have made direct comparisons to assess the factors that predict this variation. Here we operationalized neophilia as the probability of interacting with novel objects and compared the response to familiar and novel objects in 53 captive individuals belonging to seven different primate species: chimpanzees","<a href=""https://openalex.org/W4393949557"" target=""_blank"">OpenAlex</a>","Christoforos Souganidis, Miquel Llorente, Filippo Aureli, Josep Call, Federica Amici",University of Leipzig,"University of Girona, University of Girona, Universidad Veracruzana, Liverpool John Moores University, University of St Andrews, Leipzig University, Max Planck Institute for Evolutionary Anthropology",No,Primate Behavior and Ecology,Yes
Federica Amici,2019.0,article,Growing into adulthood—a review on sex differences in the development of sociality across macaques,"Preferential affiliative relationships, or social bonds, play a crucial role in primate social life, but little is known about their development. Here, we review macaque studies investigating the social development of both sexes. Firstly, we highlight the emergence of sex differences in mother–offspring bonds, as macaque mothers form stronger bonds with daughters, while being more aggressive towards sons, possibly contributing to maintain female philopatry and/or male dispersal. Secondly, despite paternity uncertainty, we discuss studies reporting that fathers of several macaque species preferentially engage with their offspring, but less than mothers and only in periods of high infant mortality. Thirdly, we show that immature females, the philopatric sex in macaques, already form stronger bonds with close maternal kin than immature males, mirroring social patterns during adulthood. However, this bias seems not caused by kin availability, as kin availability is similar for both sexes prior to male dispersal. Moreover, immature males might preferentially affiliate with paternal kin over non-kin, possibly because of lower maternal integration in their maternal family and/or in preparation of dispersal. Fourthly, we discuss how immature females engage in grooming and proximity with female partners as they grow older, while immature males preferentially interact with adult males and peers, playing more than females from early on. Finally, we show that most developmental changes in sociality happen around 2–3 years of age, probably representing a milestone in macaque social development. We conclude that sex differences in sociality emerge early in development and increase through time, with sexes gradually growing into their adult roles.","<a href=""https://openalex.org/W2910013166"" target=""_blank"">OpenAlex</a>","Federica Amici, Lars Kulik, Doreen Langos, Anja Widdig",University of Leipzig,"Max Planck Institute for Evolutionary Anthropology, Max Planck Institute for Evolutionary Anthropology, Max Planck Institute for Evolutionary Anthropology, Leipzig University",No,Primate Behavior and Ecology,Yes
Federica Amici,2021.0,article,Neophobia in 10 ungulate species—a comparative approach,"Neophobia (the fearful reaction to novel stimuli or situations) has a crucial effect on individual fitness and can vary within and across species. However, the factors predicting this variation are still unclear. In this study, we assessed whether individual characteristics (rank, social integration, sex) and species socio-ecological characteristics (dietary breadth, group size, domestication) predicted variation in neophobia. For this purpose, we conducted behavioral observations and experimental tests on 78 captive individuals belonging to 10 different ungulate species-an ideal taxon to study inter-specific variation in neophobia given their variety in socio-ecological characteristics. Individuals were tested in their social groups by providing them with familiar food, half of which had been positioned close to a novel object. We monitored the individual latency to approach and eat food and the proportion of time spent in its proximity. Using a phylogenetic approach and social network analyses, we showed that across ungulate species neophobia was higher in socially more integrated individuals, as compared to less integrated ones. In contrast, rank and sex did not predict inter-individual differences in neophobia. Moreover, species differed in their levels of neophobia, with Barbary sheep being on average less neophobic than all the other study species. As group size in Barbary sheep was larger than in all the other study species, these results support the hypothesis that larger group size predicts lower levels of neophobia, and confirm ungulates as a highly promising taxon to study animal behavior and cognition with a comparative perspective.In several species, individuals may respond fearfully to novel stimuli, therefore reducing the risks they may face. However, it is yet unclear if certain individuals or species respond more fearfully to novelty. Here, we provided food to 78 individual ungulates with different characteristics (e.g., sex, rank, social integration, group size, domestication, dietary breadth) in different controlled conditions (e.g., when food was close to novel or to familiar objects). Across species, we found that socially integrated individuals responded more fearfully in all species. Moreover, being in larger groups decreased the probability of fearfully responding to novelty.The online version contains supplementary material available at 10.1007/s00265-021-03041-0.","<a href=""https://openalex.org/W3174105255"" target=""_blank"">OpenAlex</a>","Alina Schaffer, Álvaro L. Caicoya, Montserrat Colell, Ruben Holland, Lorenzo von Fersen, Anja Widdig, Federica Amici",University of Leipzig,"Leipzig University, Universitat de Barcelona, Universitat de Barcelona, Nuremberg Hospital, Max Planck Institute for Evolutionary Anthropology, Max Planck Institute for Evolutionary Anthropology",No,Primate Behavior and Ecology,Yes
Federica Amici,2018.0,book,Field and laboratory methods in animal cognition: A comparative guide,Abstract not available,"<a href=""https://openalex.org/W2887138273"" target=""_blank"">OpenAlex</a>","Nereida Bueno-Guerra, Federica Amici",University of Leipzig,"Max Planck Institute for Evolutionary Anthropology, Max Planck Society, Max Planck Institute for Evolutionary Anthropology, Max Planck Society",No,Olfactory and Sensory Function Studies,Yes
Federica Amici,2020.0,article,Innovation in wild Barbary macaques (Macaca sylvanus),"Innovation is the ability to solve novel problems or find novel solutions to familiar problems, and it is known to affect fitness in both human and non-human animals. In primates, innovation has been mostly studied in captivity, although differences in living conditions may affect individuals’ ability to innovate. Here, we tested innovation in a wild group of Barbary macaques ( Macaca sylvanus ). In four different conditions, we presented the group with several identical foraging boxes containing food. To understand which individual characteristics and behavioural strategies best predicted innovation rate, we measured the identity of the individuals manipulating the boxes and retrieving the food, and their behaviour during the task. Our results showed that success in the novel task was mainly affected by the experimental contingencies and the behavioural strategies used during the task. Individuals were more successful in the 1-step conditions, if they participated in more trials, showed little latency to approach the boxes and mainly manipulated functional parts of the box. In contrast, we found no effect of inhibition, social facilitation and individual characteristics like sex, age, rank, centrality, neophobia and reaction to humans, on the individuals’ ability to innovate.","<a href=""https://openalex.org/W3012090232"" target=""_blank"">OpenAlex</a>","Federica Amici, Álvaro L. Caicoya, Bonaventura Majolo, Anja Widdig",University of Leipzig,"Leipzig University, Universitat de Barcelona, University of Lincoln, Max Planck Institute for Evolutionary Anthropology",No,Primate Behavior and Ecology,Yes
Federica Amici,2020.0,article,Gaze Following in Ungulates: Domesticated and Non-domesticated Species Follow the Gaze of Both Humans and Conspecifics in an Experimental Context,"Gaze following is the ability to use others’ gaze to obtain information about the environment (e.g., food location, predators, and social interactions). As such, it may be highly adaptive in a variety of socio-ecological contexts, and thus be widespread across animal taxa. To date, gaze following has been mostly studied in primates, and partially in birds, but little is known on the gaze following abilities of other taxa and, especially, on the evolutionary pressures that led to their emergence. In this study, we used an experimental approach to test gaze following skills in a still understudied taxon, ungulates. Across four species (i.e., domestic goats and lamas, and non-domestic guanacos and mouflons), we assessed the individual ability to spontaneously follow the gaze of both conspecifics and human experimenters in different conditions. In line with our predictions, species followed the model’s gaze both with human and conspecific models, but more likely with the latter. Except for guanacos, all species showed gaze following significantly more in the experimental conditions (than in the control ones). Despite the relative low number of study subjects, our study provides the first experimental evidence of gaze following skills in non-domesticated ungulates, and contributes to understanding how gaze following skills are distributed in another taxon—an essential endeavor to identify the evolutionary pressures leading to the emergence of gaze following skills across taxa.","<a href=""https://openalex.org/W3104880496"" target=""_blank"">OpenAlex</a>","Alina Schaffer, Álvaro L. Caicoya, Montserrat Colell, Ruben Holland, Conrad Ensenyat, Federica Amici",University of Leipzig,"Leipzig University, Universitat de Barcelona, Universitat de Barcelona, Max Planck Institute for Evolutionary Anthropology, Leipzig University",No,Human-Animal Interaction Studies,Yes
Federica Amici,2021.0,article,Invasive Research on Non-Human Primates—Time to Turn the Page,"Invasive research on primates (i.e., laboratory research that implies body manipulations causing pain or distress that is not aimed to directly improve the individuals' well-being) has a long history. Although some invasive studies have allowed answering research questions that we could not have addressed with other methods (or at least not as quickly), the use of primates in invasive research also raises ethical concerns. In this review, we will discuss (i) recent advances in the study of primates that show evidence of complex behaviour and cognition, (ii) welfare issues that might arise when using primates in invasive research, (iii) the main ethical issues that have been raised about invasive research on primates, (iv) the legal protection that primates are granted in several countries, with a special focus on the principle of the 3Rs, and (v) previous and current attempts to ban the use of primates in invasive research. Based on this analysis, we suggest that the importance of a research question cannot justify the costs of invasive research on primates, and that non-invasive methods should be considered the only possible approach in the study of primates.","<a href=""https://openalex.org/W3207156126"" target=""_blank"">OpenAlex</a>","Maria Padrell, Miquel Llorente, Federica Amici",University of Leipzig,"University of Girona, University of Girona, Max Planck Institute for Evolutionary Anthropology, Leipzig University",No,Primate Behavior and Ecology,Yes
Federica Amici,2022.0,article,The Habituation Process in Two Groups of Wild Moor Macaques (Macaca maura),"When studying animal behavior in the wild, some behaviors may require observation from a relatively short distance. In these cases, habituation is commonly used to ensure that animals do not perceive researchers as a direct threat and do not alter their behavior in their presence. However, habituation can have significant effects on the welfare and conservation of the animals. Studying how nonhuman primates react to the process of habituation can help to identify the factors that affect habituation and implement habituation protocols that allow other researchers to speed up the process while maintaining high standards of health and safety for both animals and researchers. In this study, we systematically described the habituation of two groups of wild moor macaques (Macaca maura), an Endangered endemic species of Sulawesi Island (Indonesia), to assess the factors that facilitate habituation and reduce impact on animal behavior during this process. During 7 months, we conducted behavioral observations for more than 7,872 encounters and an average of 120 days to monitor how macaque behavior toward researchers changed through time in the two groups under different conditions. We found that both study groups (N = 56, N = 41) became more tolerant to the presence of researchers during the course of the habituation, with occurrence of neutral group responses increasing, and minimum distance to researchers and occurrence of fearful group responses decreasing through time. These changes in behavior were predominant when macaques were in trees, with better visibility conditions, when researchers maintained a longer minimum distance to macaques and, unexpectedly, by the presence of more than one researcher. By identifying these factors, we contribute to designing habituation protocols that decrease the likelihood of fearful responses and might reduce the stress experienced during this process.","<a href=""https://openalex.org/W4205893101"" target=""_blank"">OpenAlex</a>","Clara Hernández Tienda, Bonaventura Majolo, Teresa Romero, Risma Illa Maulany, Putu Oka Ngakan, Víctor Beltrán Francés, Elisa Gregorio Hernández, José Gómez-Melara, Miquel Llorente, Federica Amici",University of Leipzig,"University of Girona, University of Lincoln, University of Lincoln, Hasanuddin University, Hasanuddin University, University of Girona, University of Girona, Universidad de Sevilla, University of Girona, Max Planck Institute for Evolutionary Anthropology",No,Primate Behavior and Ecology,Yes
Federica Amici,2022.0,article,"Maternal stress, child behavior and the promotive role of older siblings","Background In the first years of their lives, children develop the cognitive, social and emotional skills that will provide the foundations for their lifelong health and achievements. To increase their life prospects and reduce the long-term effects of early aversive conditions, it is therefore crucial to understand the risk factors that negatively affect child development and the factors that are instead beneficial. In this study, we tested (i) the effects of different social and environmental stressors on maternal stress levels, (ii) the dynamic relationship between maternal stress and child behavior problems during development, and (iii) the potential promotive (i.e. main) or protective (i.e. buffering) effect of siblings on child behavior problems during development. Methods We used longitudinal data from 373 mother–child pairs (188 daughters, 185 sons) from pregnancy until 10 years of age. We assessed maternal stress and child behavior problems (internalizing and externalizing) with validated questionnaires, and then used linear mixed models, generalized linear mixed models and longitudinal cross-lagged models to analyze the data. Results Our results showed that higher maternal stress levels were predicted by socio-environmental stressors (i.e. the lack of sufficient social areas in the neighborhood). Moreover, prenatal maternal stress reliably predicted the occurrence of behavior problems during childhood. Finally, the presence of older siblings had a promotive function, by reducing the likelihood that children developed externalizing problems. Conclusions Overall, our results confirm the negative effects that maternal stress during pregnancy may have on the offspring, and suggest an important main effect of older siblings in promoting a positive child development.","<a href=""https://openalex.org/W4225147737"" target=""_blank"">OpenAlex</a>","Federica Amici, Stefan Röder, Wieland Kieß, Michael Borte, Ana Claudia Zenclussen, Anja Widdig, Gunda Herberth",University of Leipzig,"Max Planck Institute for Evolutionary Anthropology, Helmholtz Centre for Environmental Research, Leipzig University, Klinikum St. Georg, Helmholtz Centre for Environmental Research, Leipzig University, Helmholtz Centre for Environmental Research",No,Maternal Mental Health During Pregnancy and Postpartum,Yes
Federica Amici,2023.0,article,Face to face interactions in chimpanzee ( <i>Pan troglodytes</i> ) and human ( <i>Homo sapiens</i> ) mother–infant dyads,"Human mothers interact with their infants in different ways. In Western, educated, industrialized, rich and democratic (WEIRD) societies, face-to-face interactions and mutual gazes are especially frequent, yet little is known about their developmental trajectories and if they differ from those of other primates. Using a cross-species developmental approach, we compared mother–infant interactions in 10 dyads of urban humans from a WEIRD society ( Homo sapiens ) and 10 dyads of captive zoo-based chimpanzees ( Pan troglodytes ), when infants were one, six and 12 months old. Results showed that face-to-face interactions with mutual gaze events were common in both groups throughout the infant's first year of life. The developmental trajectories of maternal and infants’ looks partially differed between species, but mutual gaze events were overall longer in humans than in chimpanzees. Mutual gazes were also more frequent in humans, peaking at six months in humans, while increasing with age in chimpanzees. The duration and frequency of mutual gazes varied across contexts in both groups, with mutual gazes being longer during caring/grooming and feeding contexts. These findings confirm that some aspects of early socio-cognitive development are shared by humans and other primates, and highlight the importance of combining developmental and cross-species approaches to better understand the evolutionary roots of parenting behaviour. This article is part of a discussion meeting issue ‘Face2face: advancing the science of social interaction’.","<a href=""https://openalex.org/W4323257211"" target=""_blank"">OpenAlex</a>","Federica Amici, Manuela Ersson-Lembeck, Manfred Holodynski, Katja Liebal",University of Leipzig,"Leipzig University, Max Planck Institute for Evolutionary Anthropology, Freie Universität Berlin, University of Münster, Leipzig University, Max Planck Institute for Evolutionary Anthropology, Freie Universität Berlin",No,Child and Animal Learning Development,Yes
Federica Amici,2023.0,article,Giraffes make decisions based on statistical information,"The ability to make inferences based on statistical information has so far been tested only in animals having large brains in relation to their body size, like primates and parrots. Here we tested if giraffes (Giraffa camelopardalis), despite having a smaller relative brain size, can rely on relative frequencies to predict sampling outcomes. We presented them with two transparent containers filled with different quantities of highly-liked food and less-preferred food. The experimenter covertly drew one piece of food from each container, and let the giraffe choose between the two options. In the first task, we varied the quantity and relative frequency of highly-liked and less-preferred food pieces. In the second task, we inserted a physical barrier in both containers, so giraffes only had to take into account the upper part of the container when predicting the outcome. In both tasks giraffes successfully selected the container more likely to provide the highly-liked food, integrating physical information to correctly predict sampling information. By ruling out alternative explanations based on simpler quantity heuristics and learning processes, we showed that giraffes can make decisions based on statistical inferences.","<a href=""https://openalex.org/W4372335605"" target=""_blank"">OpenAlex</a>","Álvaro L. Caicoya, Montserrat Colell, Federica Amici",University of Leipzig,"Universitat de Barcelona, Universitat de Barcelona, Leipzig University",No,Decision-Making and Behavioral Economics,Yes
