Researcher_A,Researcher_B,Shared_synergies_count,Shared_synergies
Aleksandra Ćwiek,Natalia Filatkina,1,mri
Aleksandra Ćwiek,Sotaro Kita,1,data analysis methods
Aleksandra Ćwiek,Tatjana Scheffler,1,cognitive science
Aleksandra Ćwiek,Valentina Colasanti,1,cognitive science
Aleksandra Ćwiek,Vanessa Wing Yan Tsang,1,cognitive science
Aleksandra Ćwiek,Vera Wolfrum,1,linear mixed-effects models
Alexander Henlein,Andy Lücking,2,multimodal data model; ontologies
Alexander Henlein,Carly A. Anderson,2,linear mixed-effects models; mri
Alexander Henlein,Ingmar Brilmayer,2,multimodal communication; natural language processing techniques
Alexander Henlein,Jana Bressem,2,linear mixed-effects models; mri
Alexander Henlein,Paula G. Sánchez Ramón,2,lexicography; mri
Alexander Henlein,Aleksandra Ćwiek,1,mri
Alexander Henlein,Alexander Mehler,1,transformer-based models
Alexander Henlein,Anastasia Bauer,1,multimodal communication
Alexander Henlein,Anna Kuder,1,mri
Alexander Henlein,Babajide Owoyele,1,multimodal communication
Alexander Henlein,Christian Dobel,1,linear mixed-effects models
Alexander Henlein,Cornelia Ebert,1,mri
Alexander Henlein,Cornelia Loos,1,mri
Alexander Henlein,Door Spruijt,1,research implications
Alexander Henlein,Frank Kügler,1,mri
Alexander Henlein,Katja Liebal,1,mri
Alexander Henlein,Lea Fricke,1,mri
Alexander Henlein,Linda Oña,1,mri
Alexander Henlein,Lisa-Marie Krause,1,spatial cognition
Alexander Henlein,Mailin Ines Antomo,1,mri
Alexander Henlein,Marianthi Koraka,1,mri
Alexander Henlein,Marion Bonnet,1,mri
Alexander Henlein,Matteo Maran,1,mri
Alexander Henlein,Natalia Filatkina,1,mri
Alexander Henlein,Nina-Kristin Meister,1,mri
Alexander Henlein,Oliver Herbort,1,mri
Alexander Henlein,Patrick Georg Grosz,1,mri
Alexander Henlein,Patrick Trettenbrein,1,mri
Alexander Henlein,Petra Schumacher,1,mri
Alexander Henlein,Philippe Schlenker,1,mri
Alexander Henlein,Pia Gehlbach,1,linear mixed-effects models
Alexander Henlein,Sarah Schwarzenberg,1,mri
Alexander Henlein,Sebastian Walter,1,mri
Alexander Henlein,Silva Ladewig,1,mri
Alexander Henlein,Sotaro Kita,1,spatial cognition
Alexander Henlein,Susan Goldin-Meadow,1,mri
Alexander Henlein,Tatjana Scheffler,1,natural language processing techniques
Alexander Henlein,Thomas Finkbeiner,1,mri
Alexander Henlein,Volker Gast,1,mri
Alexander Henlein,Yuqiu Chen,1,mri
Alexander Mehler,Andy Lücking,4,cognitive science; natural language processing techniques; pos tagging; text mining tools
Alexander Mehler,Jens Lemanski,3,bayesian stats; cognitive science; semantic web
Alexander Mehler,Aleksandra Ćwiek,2,cognitive science; language evolution
Alexander Mehler,Door Spruijt,2,cognitive science; language evolution
Alexander Mehler,Ingmar Brilmayer,2,bayesian stats; language evolution
Alexander Mehler,Marion Bonnet,2,bayesian stats; cognitive science
Alexander Mehler,Markus Steinbach,2,bayesian stats; cognitive science
Alexander Mehler,Nadine Bade,2,bayesian stats; cognitive science
Alexander Mehler,Oliver Herbort,2,bayesian stats; virtual reality
Alexander Mehler,Philippe Schlenker,2,bayesian stats; cognitive science
Alexander Mehler,Sebastian Walter,2,bayesian stats; cognitive science
Alexander Mehler,Vinicius Macuch,2,language evolution; natural language processing techniques
Alexander Mehler,Wim Pouw,2,bayesian stats; cognitive science
Alexander Mehler,Alexander Henlein,1,transformer-based models
Alexander Mehler,Anastasia Bauer,1,cognitive science
Alexander Mehler,Anna Kuder,1,bayesian stats
Alexander Mehler,Carly A. Anderson,1,bayesian stats
Alexander Mehler,Cornelia Ebert,1,bayesian stats
Alexander Mehler,Cornelia Loos,1,bayesian stats
Alexander Mehler,Frank Kügler,1,cognitive science
Alexander Mehler,Jana Bressem,1,bayesian stats
Alexander Mehler,Jonas Hartke,1,cognitive science
Alexander Mehler,Kathryn Barnes,1,bayesian stats
Alexander Mehler,Katja Liebal,1,language evolution
Alexander Mehler,Lea Fricke,1,bayesian stats
Alexander Mehler,Linda Oña,1,bayesian stats
Alexander Mehler,Lisa-Marie Krause,1,virtual reality
Alexander Mehler,Marianthi Koraka,1,bayesian stats
Alexander Mehler,Martin Schulte-Rüther,1,bayesian stats
Alexander Mehler,Matteo Maran,1,bayesian stats
Alexander Mehler,Nina-Kristin Meister,1,cognitive science
Alexander Mehler,Patrick Georg Grosz,1,cognitive science
Alexander Mehler,Patrick Trettenbrein,1,bayesian stats
Alexander Mehler,Paula G. Sánchez Ramón,1,bayesian stats
Alexander Mehler,Petra Schumacher,1,natural language processing techniques
Alexander Mehler,Pia Gehlbach,1,cognitive science
Alexander Mehler,Silva Ladewig,1,bayesian stats
Alexander Mehler,Stefan Hinterwimmer,1,cognitive science
Alexander Mehler,Stefan R. Schweinberger,1,cognitive science
Alexander Mehler,Susan Goldin-Meadow,1,bayesian stats
Alexander Mehler,Susanne Fuchs,1,language evolution
Alexander Mehler,Tatjana Scheffler,1,cognitive science
Alexander Mehler,Valentina Colasanti,1,cognitive science
Alexander Mehler,Vanessa Wing Yan Tsang,1,cognitive science
Alexander Mehler,Volker Gast,1,cognitive science
Alexander Mehler,Yuqiu Chen,1,bayesian stats
Alexander Mehler,Šárka Kadavá,1,cognitive science
Alina Gregori,Paula G. Sánchez Ramón,3,catalan; german; multimodal communication
Alina Gregori,Celina Isabelle von Eiff,2,multimodal communication; perception experiments
Alina Gregori,Pilar Prieto,2,multimodal communication; perception experiments
Alina Gregori,Aleksandra Ćwiek,1,multimodal communication
Alina Gregori,Andy Lücking,1,multimodal communication
Alina Gregori,Carina Lüke,1,multimodal communication
Alina Gregori,Chiara Zulberti,1,perception experiments
Alina Gregori,Cornelia Loos,1,phonology
Alina Gregori,Frank Kügler,1,multimodal communication
Alina Gregori,Jana Bressem,1,multimodal communication
Alina Gregori,Mailin Ines Antomo,1,perception experiments
Alina Gregori,Marion Bonnet,1,multimodal communication
Alina Gregori,Nina-Kristin Meister,1,multimodal communication
Alina Gregori,Oliver Herbort,1,multimodal communication
Alina Gregori,Pamela Perniss,1,multimodal communication
Alina Gregori,Patrick Trettenbrein,1,multimodal communication
Alina Gregori,Petra Schumacher,1,multimodal communication
Alina Gregori,Reetu Bhattacharjee,1,multimodal communication
Alina Gregori,Silva Ladewig,1,multimodal communication
Alina Gregori,Susan Goldin-Meadow,1,multimodal communication
Alina Gregori,Susanne Fuchs,1,multimodal communication
Alina Gregori,Vinicius Macuch,1,multimodal communication
Alina Gregori,Wim Pouw,1,multimodal communication
Anastasia Bauer,Reetu Bhattacharjee,4,augmentation methods; chatgpt; data privacy; machine learning
Anastasia Bauer,Anna Kuder,3,affirmation nods; pose estimation study; russian sign language
Anastasia Bauer,Door Spruijt,3,cognitive science; elicited data; research specialization
Anastasia Bauer,Nina-Kristin Meister,3,cognitive science; hearing impairment; non-manual cues
Anastasia Bauer,Patrick Georg Grosz,3,cognitive science; hearing impairment; social science
Anastasia Bauer,Aleksandra Ćwiek,2,cognitive science; machine learning
Anastasia Bauer,Babajide Owoyele,2,multimodal communication; social science
Anastasia Bauer,Ingmar Brilmayer,2,multimodal communication; research project
Anastasia Bauer,Jens Lemanski,2,cognitive science; social science
Anastasia Bauer,Jonas Hartke,2,cognitive science; social science
Anastasia Bauer,Marianthi Koraka,2,hearing impairment; modality effects
Anastasia Bauer,Patrick Trettenbrein,2,non-manual cues; openpose
Anastasia Bauer,Stefan Hinterwimmer,2,cognitive science; social science
Anastasia Bauer,Tatjana Scheffler,2,cognitive science; social science
Anastasia Bauer,Wim Pouw,2,cognitive science; data privacy
Anastasia Bauer,Šárka Kadavá,2,cognitive science; hearing impairment
Anastasia Bauer,Alexander Henlein,1,multimodal communication
Anastasia Bauer,Alexander Mehler,1,cognitive science
Anastasia Bauer,Andy Lücking,1,cognitive science
Anastasia Bauer,Celina Isabelle von Eiff,1,hearing impairment
Anastasia Bauer,Cornelia Ebert,1,hearing impairment
Anastasia Bauer,Frank Kügler,1,cognitive science
Anastasia Bauer,Liona Paulus,1,language contact
Anastasia Bauer,Marion Bonnet,1,cognitive science
Anastasia Bauer,Markus Steinbach,1,cognitive science
Anastasia Bauer,Martin Schulte-Rüther,1,machine learning
Anastasia Bauer,Matteo Maran,1,non-manual cues
Anastasia Bauer,Nadine Bade,1,cognitive science
Anastasia Bauer,Oliver Herbort,1,hearing impairment
Anastasia Bauer,Paula G. Sánchez Ramón,1,hearing impairment
Anastasia Bauer,Philippe Schlenker,1,cognitive science
Anastasia Bauer,Pia Gehlbach,1,cognitive science
Anastasia Bauer,Pilar Prieto,1,articulatory features
Anastasia Bauer,Sebastian Walter,1,cognitive science
Anastasia Bauer,Stefan R. Schweinberger,1,cognitive science
Anastasia Bauer,Valentina Colasanti,1,cognitive science
Anastasia Bauer,Vanessa Wing Yan Tsang,1,cognitive science
Anastasia Bauer,Volker Gast,1,cognitive science
Andrea Reichenberger,Door Spruijt,1,research projects
Andrea Reichenberger,Jana Bressem,1,research projects
Andrea Reichenberger,Jens Lemanski,1,history of science
Andrea Reichenberger,Nina-Kristin Meister,1,research projects
Andy Lücking,Alexander Mehler,4,cognitive science; natural language processing techniques; pos tagging; text mining tools
Andy Lücking,Aleksandra Ćwiek,2,cognitive science; multimodal communication
Andy Lücking,Alexander Henlein,2,multimodal data model; ontologies
Andy Lücking,Frank Kügler,2,cognitive science; multimodal communication
Andy Lücking,Jens Lemanski,2,cognitive science; semantics
Andy Lücking,Marc Schulder,2,lexicography; natural language processing
Andy Lücking,Marion Bonnet,2,cognitive science; multimodal communication
Andy Lücking,Nadine Bade,2,cognitive science; semantics
Andy Lücking,Nina-Kristin Meister,2,cognitive science; multimodal communication
Andy Lücking,Petra Schumacher,2,multimodal communication; natural language processing techniques
Andy Lücking,Vinicius Macuch,2,multimodal communication; natural language processing techniques
Andy Lücking,Wim Pouw,2,cognitive science; multimodal communication
Andy Lücking,Alina Gregori,1,multimodal communication
Andy Lücking,Anastasia Bauer,1,cognitive science
Andy Lücking,Carina Lüke,1,multimodal communication
Andy Lücking,Celina Isabelle von Eiff,1,multimodal communication
Andy Lücking,Door Spruijt,1,cognitive science
Andy Lücking,Jana Bressem,1,multimodal communication
Andy Lücking,Jonas Hartke,1,cognitive science
Andy Lücking,Josiah Nii Ashie Neequaye,1,cognitive linguistics
Andy Lücking,Markus Steinbach,1,cognitive science
Andy Lücking,Oliver Herbort,1,multimodal communication
Andy Lücking,Pamela Perniss,1,multimodal communication
Andy Lücking,Patrick Georg Grosz,1,cognitive science
Andy Lücking,Patrick Trettenbrein,1,multimodal communication
Andy Lücking,Paula G. Sánchez Ramón,1,multimodal communication
Andy Lücking,Philippe Schlenker,1,cognitive science
Andy Lücking,Pia Gehlbach,1,cognitive science
Andy Lücking,Pilar Prieto,1,multimodal communication
Andy Lücking,Reetu Bhattacharjee,1,multimodal communication
Andy Lücking,Sebastian Walter,1,cognitive science
Andy Lücking,Silva Ladewig,1,multimodal communication
Andy Lücking,Stefan Hinterwimmer,1,cognitive science
Andy Lücking,Stefan R. Schweinberger,1,cognitive science
Andy Lücking,Susan Goldin-Meadow,1,multimodal communication
Andy Lücking,Susanne Fuchs,1,multimodal communication
Andy Lücking,Tatjana Scheffler,1,cognitive science
Andy Lücking,Valentina Colasanti,1,cognitive science
Andy Lücking,Vanessa Wing Yan Tsang,1,cognitive science
Andy Lücking,Volker Gast,1,cognitive science
Andy Lücking,Šárka Kadavá,1,cognitive science
Anna Kuder,Yuqiu Chen,8,bayesian stats; eeg; gestures; iconicity; linear mixed-effects models; motor theory; mri; prosodic prominence
Anna Kuder,Cornelia Ebert,6,bayesian stats; discourse particles; eeg; iconicity; linear mixed-effects models; mri
Anna Kuder,Lea Fricke,6,bayesian stats; eeg; iconicity; linear mixed-effects models; mri; prosodic prominence
Anna Kuder,Marianthi Koraka,6,bayesian stats; eeg; iconicity; linear mixed-effects models; motor theory; mri
Anna Kuder,Matteo Maran,6,bayesian stats; core expertise; eeg; linear mixed-effects models; mri; research themes
Anna Kuder,Sarah Schwarzenberg,6,eeg; german sign language; iconicity; linear mixed-effects models; motor theory; mri
Anna Kuder,Thomas Finkbeiner,6,eeg; iconicity; linear mixed-effects models; motor theory; mri; prosodic prominence
Anna Kuder,Cornelia Loos,5,bayesian stats; eeg; linear mixed-effects models; mri; signed languages
Anna Kuder,Kathryn Barnes,5,bayesian stats; core expertise; gestures; iconicity; linear mixed-effects models
Anna Kuder,Marion Bonnet,5,bayesian stats; eeg; iconicity; linear mixed-effects models; mri
Anna Kuder,Carly A. Anderson,4,bayesian stats; core expertise; eeg; mri
Anna Kuder,Linda Oña,4,bayesian stats; eeg; linear mixed-effects models; mri
Anna Kuder,Nina-Kristin Meister,4,core expertise; iconicity; mri; perception experiments
Anna Kuder,Oliver Herbort,4,bayesian stats; eeg; linear mixed-effects models; mri
Anna Kuder,Patrick Georg Grosz,4,eeg; linear mixed-effects models; mri; prosodic prominence
Anna Kuder,Patrick Trettenbrein,4,bayesian stats; eeg; linear mixed-effects models; mri
Anna Kuder,Sebastian Walter,4,bayesian stats; eeg; linear mixed-effects models; mri
Anna Kuder,Silva Ladewig,4,bayesian stats; eeg; linear mixed-effects models; mri
Anna Kuder,Aleksandra Ćwiek,3,eeg; linear mixed-effects models; mri
Anna Kuder,Anastasia Bauer,3,affirmation nods; pose estimation study; russian sign language
Anna Kuder,Annika Herrmann,3,iconicity; linear mixed-effects models; motor theory
Anna Kuder,Frank Kügler,3,eeg; linear mixed-effects models; mri
Anna Kuder,Ingmar Brilmayer,3,bayesian stats; iconicity; linear mixed-effects models
Anna Kuder,Jana Bressem,3,bayesian stats; eeg; mri
Anna Kuder,Jens Lemanski,3,bayesian stats; eeg; linear mixed-effects models
Anna Kuder,Katja Liebal,3,linear mixed-effects models; mri; research themes
Anna Kuder,Mailin Ines Antomo,3,gestures; linear mixed-effects models; mri
Anna Kuder,Markus Steinbach,3,bayesian stats; eeg; linear mixed-effects models
Anna Kuder,Paula G. Sánchez Ramón,3,bayesian stats; linear mixed-effects models; mri
Anna Kuder,Philippe Schlenker,3,bayesian stats; linear mixed-effects models; mri
Anna Kuder,Pilar Prieto,3,iconicity; linear mixed-effects models; motor theory
Anna Kuder,Susan Goldin-Meadow,3,bayesian stats; eeg; mri
Anna Kuder,Chiara Zulberti,2,core expertise; iconicity
Anna Kuder,Emiliano Zaccarella,2,eeg; linear mixed-effects models
Anna Kuder,Nadine Bade,2,bayesian stats; linear mixed-effects models
Anna Kuder,Petra Schumacher,2,linear mixed-effects models; mri
Anna Kuder,Pia Gehlbach,2,eeg; motor theory
Anna Kuder,Vinicius Macuch,2,iconicity; linear mixed-effects models
Anna Kuder,Volker Gast,2,core expertise; mri
Anna Kuder,Wim Pouw,2,bayesian stats; linear mixed-effects models
Anna Kuder,Šárka Kadavá,2,iconicity; motor theory
Anna Kuder,Alexander Henlein,1,mri
Anna Kuder,Alexander Mehler,1,bayesian stats
Anna Kuder,Babajide Owoyele,1,linear mixed-effects models
Anna Kuder,Christian Dobel,1,linear mixed-effects models
Anna Kuder,Jonas Hartke,1,gestures
Anna Kuder,Liona Paulus,1,iconicity
Anna Kuder,Marc Schulder,1,prosodic prominence
Anna Kuder,Martin Schulte-Rüther,1,bayesian stats
Anna Kuder,Natalia Filatkina,1,mri
Anna Kuder,Pamela Perniss,1,linear mixed-effects models
Anna Kuder,Valentina Colasanti,1,co-speech gesture
Anna Kuder,Vanessa Wing Yan Tsang,1,iconicity
Anna Kuder,Vera Wolfrum,1,linear mixed-effects models
Annika Herrmann,Marianthi Koraka,4,iconicity; linear mixed-effects models; motor theory; prosodic prominence
Annika Herrmann,Sarah Schwarzenberg,4,iconicity; linear mixed-effects models; motor theory; prosodic prominence
Annika Herrmann,Anna Kuder,3,iconicity; linear mixed-effects models; motor theory
Annika Herrmann,Pilar Prieto,3,iconicity; linear mixed-effects models; motor theory
Annika Herrmann,Thomas Finkbeiner,3,iconicity; linear mixed-effects models; motor theory
Annika Herrmann,Yuqiu Chen,3,iconicity; linear mixed-effects models; motor theory
Annika Herrmann,Šárka Kadavá,3,iconicity; motor theory; prosodic prominence
Annika Herrmann,Aleksandra Ćwiek,2,linear mixed-effects models; prosodic prominence
Annika Herrmann,Christian Dobel,2,linear mixed-effects models; prosodic prominence
Annika Herrmann,Cornelia Ebert,2,iconicity; linear mixed-effects models
Annika Herrmann,Ingmar Brilmayer,2,iconicity; linear mixed-effects models
Annika Herrmann,Kathryn Barnes,2,iconicity; linear mixed-effects models
Annika Herrmann,Lea Fricke,2,iconicity; linear mixed-effects models
Annika Herrmann,Marion Bonnet,2,iconicity; linear mixed-effects models
Annika Herrmann,Pia Gehlbach,2,motor theory; prosodic prominence
Annika Herrmann,Vinicius Macuch,2,iconicity; linear mixed-effects models
Annika Herrmann,Babajide Owoyele,1,linear mixed-effects models
Annika Herrmann,Carly A. Anderson,1,prosodic prominence
Annika Herrmann,Chiara Zulberti,1,iconicity
Annika Herrmann,Cornelia Loos,1,linear mixed-effects models
Annika Herrmann,Emiliano Zaccarella,1,linear mixed-effects models
Annika Herrmann,Frank Kügler,1,linear mixed-effects models
Annika Herrmann,Jens Lemanski,1,linear mixed-effects models
Annika Herrmann,Katja Liebal,1,linear mixed-effects models
Annika Herrmann,Linda Oña,1,linear mixed-effects models
Annika Herrmann,Liona Paulus,1,iconicity
Annika Herrmann,Mailin Ines Antomo,1,linear mixed-effects models
Annika Herrmann,Markus Steinbach,1,linear mixed-effects models
Annika Herrmann,Matteo Maran,1,linear mixed-effects models
Annika Herrmann,Nadine Bade,1,linear mixed-effects models
Annika Herrmann,Nina-Kristin Meister,1,iconicity
Annika Herrmann,Oliver Herbort,1,linear mixed-effects models
Annika Herrmann,Pamela Perniss,1,linear mixed-effects models
Annika Herrmann,Patrick Georg Grosz,1,linear mixed-effects models
Annika Herrmann,Patrick Trettenbrein,1,linear mixed-effects models
Annika Herrmann,Paula G. Sánchez Ramón,1,linear mixed-effects models
Annika Herrmann,Petra Schumacher,1,linear mixed-effects models
Annika Herrmann,Philippe Schlenker,1,linear mixed-effects models
Annika Herrmann,Sebastian Walter,1,linear mixed-effects models
Annika Herrmann,Silva Ladewig,1,linear mixed-effects models
Annika Herrmann,Vanessa Wing Yan Tsang,1,iconicity
Annika Herrmann,Vera Wolfrum,1,linear mixed-effects models
Annika Herrmann,Volker Gast,1,prosodic prominence
Annika Herrmann,Wim Pouw,1,linear mixed-effects models
Babajide Owoyele,Jens Lemanski,4,artificial intelligence; data analytics; linear mixed-effects models; social science
Babajide Owoyele,Patrick Trettenbrein,4,data reproducibility; data sharing; data visualization; linear mixed-effects models
Babajide Owoyele,Aleksandra Ćwiek,3,data analysis methods; linear mixed-effects models; research methods
Babajide Owoyele,Frank Kügler,3,bayesian statistics; data analysis methods; linear mixed-effects models
Babajide Owoyele,Jonas Hartke,3,data analysis methods; research methods; social science
Babajide Owoyele,Katja Liebal,3,bayesian statistics; data analysis methods; linear mixed-effects models
Babajide Owoyele,Pamela Perniss,3,bayesian statistics; data analysis methods; linear mixed-effects models
Babajide Owoyele,Patrick Georg Grosz,3,bayesian statistics; linear mixed-effects models; social science
Babajide Owoyele,Vinicius Macuch,3,bayesian statistics; data analysis methods; linear mixed-effects models
Babajide Owoyele,Anastasia Bauer,2,multimodal communication; social science
Babajide Owoyele,Ingmar Brilmayer,2,linear mixed-effects models; multimodal communication
Babajide Owoyele,Linda Oña,2,data analysis methods; linear mixed-effects models
Babajide Owoyele,Marion Bonnet,2,data analysis methods; linear mixed-effects models
Babajide Owoyele,Markus Steinbach,2,data analysis methods; linear mixed-effects models
Babajide Owoyele,Matteo Maran,2,data analysis methods; linear mixed-effects models
Babajide Owoyele,Nadine Bade,2,data analysis methods; linear mixed-effects models
Babajide Owoyele,Petra Schumacher,2,data analysis methods; linear mixed-effects models
Babajide Owoyele,Sebastian Walter,2,data analysis methods; linear mixed-effects models
Babajide Owoyele,Sotaro Kita,2,bayesian statistics; data analysis methods
Babajide Owoyele,Stefan R. Schweinberger,2,data analysis methods; research methods
Babajide Owoyele,Thomas Finkbeiner,2,data analysis methods; linear mixed-effects models
Babajide Owoyele,Vera Wolfrum,2,bayesian statistics; linear mixed-effects models
Babajide Owoyele,Volker Gast,2,bayesian statistics; data management
Babajide Owoyele,Wim Pouw,2,computer vision tool; linear mixed-effects models
Babajide Owoyele,Alexander Henlein,1,multimodal communication
Babajide Owoyele,Anna Kuder,1,linear mixed-effects models
Babajide Owoyele,Annika Herrmann,1,linear mixed-effects models
Babajide Owoyele,Carly A. Anderson,1,data analysis methods
Babajide Owoyele,Christian Dobel,1,linear mixed-effects models
Babajide Owoyele,Cornelia Ebert,1,linear mixed-effects models
Babajide Owoyele,Cornelia Loos,1,linear mixed-effects models
Babajide Owoyele,Emiliano Zaccarella,1,linear mixed-effects models
Babajide Owoyele,Kathryn Barnes,1,linear mixed-effects models
Babajide Owoyele,Lea Fricke,1,linear mixed-effects models
Babajide Owoyele,Mailin Ines Antomo,1,linear mixed-effects models
Babajide Owoyele,Marianthi Koraka,1,linear mixed-effects models
Babajide Owoyele,Nina-Kristin Meister,1,data analysis methods
Babajide Owoyele,Oliver Herbort,1,linear mixed-effects models
Babajide Owoyele,Paula G. Sánchez Ramón,1,linear mixed-effects models
Babajide Owoyele,Philippe Schlenker,1,linear mixed-effects models
Babajide Owoyele,Pilar Prieto,1,linear mixed-effects models
Babajide Owoyele,Sarah Schwarzenberg,1,linear mixed-effects models
Babajide Owoyele,Silva Ladewig,1,linear mixed-effects models
Babajide Owoyele,Simone Schäffner,1,eeg research
Babajide Owoyele,Stefan Hinterwimmer,1,social science
Babajide Owoyele,Susan Goldin-Meadow,1,topic modeling
Babajide Owoyele,Tatjana Scheffler,1,social science
Babajide Owoyele,Yuqiu Chen,1,linear mixed-effects models
Babajide Owoyele,Šárka Kadavá,1,data analysis methods
Camila Antonio Barros,Federica Amici,1,experimental paradigms
Camila Antonio Barros,Jana Bressem,1,corpus analysis
Camila Antonio Barros,Stefan R. Schweinberger,1,experimental paradigms
Camila Antonio Barros,Tatjana Scheffler,1,corpus analysis
Camila Antonio Barros,Vinicius Macuch,1,corpus analysis
Camila Antonio Barros,Volker Gast,1,corpus analysis
Carina Lüke,Pamela Perniss,3,language processing; multimodal communication; research themes
Carina Lüke,Vera Wolfrum,3,developmental language disorder; language processing; special education
Carina Lüke,Ingmar Brilmayer,2,language processing; research themes
Carina Lüke,Marion Bonnet,2,multimodal communication; research themes
